simulation_id,workflow,domain,y_min,y_max,chains,draws_per_chain,posterior_draws_total,n_obs,pvs_theta,pvs_pred,pvs_joint,trace_member
42,area,nominal,0.0,1.0,4,3000,12000,288,0.8514166666666667,0.9255619212962963,0.7883185763888889,trace_pvs_sdescriptor_mismatch_nominal_sim42.nc
43,area,broad,-0.05,1.05,4,3000,12000,288,0.9675,0.9825344328703703,0.9506209490740741,trace_pvs_sdescriptor_mismatch_nominal_sim43.nc
43,area,narrow,0.02,0.98,4,3000,12000,288,0.65025,0.8427534722222222,0.5485671296296296,trace_pvs_sdescriptor_mismatch_nominal_sim43.nc
43,area,nominal,0.0,1.0,4,3000,12000,288,0.8266666666666667,0.9073234953703704,0.7503451967592593,trace_pvs_sdescriptor_mismatch_nominal_sim43.nc
44,area,broad,-0.05,1.05,4,3000,12000,288,0.94325,0.9761365740740741,0.9207971643518519,trace_pvs_sdescriptor_mismatch_nominal_sim44.nc
44,area,narrow,0.02,0.98,4,3000,12000,288,0.42683333333333334,0.8478208912037037,0.36322309027777777,trace_pvs_sdescriptor_mismatch_nominal_sim44.nc
44,area,nominal,0.0,1.0,4,3000,12000,288,0.7040833333333333,0.9075329861111111,0.6396799768518519,trace_pvs_sdescriptor_mismatch_nominal_sim44.nc
45,area,broad,-0.05,1.05,4,3000,12000,288,0.9838333333333333,0.9901195023148148,0.9741195023148148,trace_pvs_sdescriptor_mismatch_nominal_sim45.nc
45,area,narrow,0.02,0.98,4,3000,12000,288,0.767,0.9015966435185185,0.6921898148148148,trace_pvs_sdescriptor_mismatch_nominal_sim45.nc
45,area,nominal,0.0,1.0,4,3000,12000,288,0.90325,0.9471886574074074,0.8557748842592593,trace_pvs_sdescriptor_mismatch_nominal_sim45.nc
46,area,broad,-0.05,1.05,4,3000,12000,288,0.99175,0.9898744212962963,0.9816987847222223,trace_pvs_sdescriptor_mismatch_nominal_sim46.nc
46,area,narrow,0.02,0.98,4,3000,12000,288,0.855,0.8497569444444445,0.7271921296296296,trace_pvs_sdescriptor_mismatch_nominal_sim46.nc
46,area,nominal,0.0,1.0,4,3000,12000,288,0.9506666666666667,0.9229429976851852,0.8774539930555556,trace_pvs_sdescriptor_mismatch_nominal_sim46.nc
47,area,broad,-0.05,1.05,4,3000,12000,288,0.9904166666666666,0.9897907986111111,0.9802997685185185,trace_pvs_sdescriptor_mismatch_nominal_sim47.nc
47,area,narrow,0.02,0.98,4,3000,12000,288,0.7823333333333333,0.8666840277777778,0.6789525462962963,trace_pvs_sdescriptor_mismatch_nominal_sim47.nc
47,area,nominal,0.0,1.0,4,3000,12000,288,0.9265833333333333,0.9307190393518519,0.8625407986111111,trace_pvs_sdescriptor_mismatch_nominal_sim47.nc
48,area,broad,-0.05,1.05,4,3000,12000,288,0.97525,0.9771374421296296,0.9529646990740741,trace_pvs_sdescriptor_mismatch_nominal_sim48.nc
48,area,narrow,0.02,0.98,4,3000,12000,288,0.6945833333333333,0.8492528935185185,0.5911984953703704,trace_pvs_sdescriptor_mismatch_nominal_sim48.nc
48,area,nominal,0.0,1.0,4,3000,12000,288,0.8729166666666667,0.9092201967592592,0.7941102430555556,trace_pvs_sdescriptor_mismatch_nominal_sim48.nc
49,area,broad,-0.05,1.05,4,3000,12000,288,0.9479166666666666,0.9859487847222222,0.9346429398148148,trace_pvs_sdescriptor_mismatch_nominal_sim49.nc
49,area,narrow,0.02,0.98,4,3000,12000,288,0.4125,0.8949916087962962,0.37023061342592595,trace_pvs_sdescriptor_mismatch_nominal_sim49.nc
49,area,nominal,0.0,1.0,4,3000,12000,288,0.6816666666666666,0.938779224537037,0.6405865162037037,trace_pvs_sdescriptor_mismatch_nominal_sim49.nc
50,area,broad,-0.05,1.05,4,3000,12000,288,0.9894166666666667,0.990128761574074,0.9796498842592593,trace_pvs_sdescriptor_mismatch_nominal_sim50.nc
50,area,narrow,0.02,0.98,4,3000,12000,288,0.85075,0.8857161458333334,0.7540506365740741,trace_pvs_sdescriptor_mismatch_nominal_sim50.nc
50,area,nominal,0.0,1.0,4,3000,12000,288,0.9419166666666666,0.9404467592592592,0.8859059606481482,trace_pvs_sdescriptor_mismatch_nominal_sim50.nc
51,area,broad,-0.05,1.05,4,3000,12000,288,0.9581666666666667,0.9567679398148148,0.9168252314814814,trace_pvs_sdescriptor_mismatch_nominal_sim51.nc
51,area,narrow,0.02,0.98,4,3000,12000,288,0.2828333333333333,0.7329065393518519,0.20827777777777778,trace_pvs_sdescriptor_mismatch_nominal_sim51.nc
51,area,nominal,0.0,1.0,4,3000,12000,288,0.6560833333333334,0.819328125,0.5387369791666666,trace_pvs_sdescriptor_mismatch_nominal_sim51.nc
52,area,broad,-0.05,1.05,4,3000,12000,288,0.9619166666666666,0.969386863425926,0.9324759837962963,trace_pvs_sdescriptor_mismatch_nominal_sim52.nc
52,area,narrow,0.02,0.98,4,3000,12000,288,0.46658333333333335,0.7678041087962963,0.3591623263888889,trace_pvs_sdescriptor_mismatch_nominal_sim52.nc
52,area,nominal,0.0,1.0,4,3000,12000,288,0.7716666666666666,0.8546646412037037,0.659798900462963,trace_pvs_sdescriptor_mismatch_nominal_sim52.nc
53,area,broad,-0.05,1.05,4,3000,12000,288,0.98925,0.9935963541666667,0.9829137731481481,trace_pvs_sdescriptor_mismatch_nominal_sim53.nc
53,area,narrow,0.02,0.98,4,3000,12000,288,0.8986666666666666,0.9023735532407408,0.8110888310185185,trace_pvs_sdescriptor_mismatch_nominal_sim53.nc
53,area,nominal,0.0,1.0,4,3000,12000,288,0.95275,0.953535011574074,0.9085387731481481,trace_pvs_sdescriptor_mismatch_nominal_sim53.nc
54,area,broad,-0.05,1.05,4,3000,12000,288,0.9715833333333334,0.9847028356481482,0.9567346643518518,trace_pvs_sdescriptor_mismatch_nominal_sim54.nc
54,area,narrow,0.02,0.98,4,3000,12000,288,0.7219166666666667,0.8659675925925926,0.6258428819444445,trace_pvs_sdescriptor_mismatch_nominal_sim54.nc
54,area,nominal,0.0,1.0,4,3000,12000,288,0.8670833333333333,0.9233836805555555,0.8009273726851852,trace_pvs_sdescriptor_mismatch_nominal_sim54.nc
55,area,broad,-0.05,1.05,4,3000,12000,288,0.9255833333333333,0.9333831018518518,0.8639910300925926,trace_pvs_sdescriptor_mismatch_nominal_sim55.nc
55,area,narrow,0.02,0.98,4,3000,12000,288,0.3938333333333333,0.7219537037037037,0.28477575231481483,trace_pvs_sdescriptor_mismatch_nominal_sim55.nc
55,area,nominal,0.0,1.0,4,3000,12000,288,0.6266666666666667,0.7979152199074074,0.5003949652777778,trace_pvs_sdescriptor_mismatch_nominal_sim55.nc
