simulation_id,scenario_id,model_name,descriptor_used,n_obs,n_labs,n_batches,n_exposure_levels,n_replicates,rmse,mae,r2_or_pseudo_r2,aic,bic,coverage_50,coverage_80,coverage_90,coverage_95,rhat_max,ess_bulk_min,ess_tail_min,n_divergences,bfmi_min,ppc_coverage,lab_variance_recovery,batch_variance_recovery,transition_region_error,extrapolation_error,pvs_theta,pvs_pred,pvs_descriptor,pvs_joint,prior_sensitivity_delta_pvs,admissibility_sensitivity_delta_pvs,runtime_seconds,residual_normality_p,residual_heteroscedasticity_p,residual_tail_flag,diagnostic_flag
129,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.15231289639480844,0.13169195998083932,0.8271589367401436,,,0.4027777777777778,0.7847222222222222,0.9652777777777778,0.9930555555555556,1.0,2840.0,3035.0,0.0,0.7003161970741915,0.9930555555555556,2.9961335570737573,2.6460507542526517,0.07274454291279503,,,0.781318287037037,1.0,0.781318287037037,,,31.20314730500104,0.0003836751535697901,5.257624801213319e-05,0.0,heteroscedastic_residuals;low_joint_pvs
129,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.045847419667316744,0.034688304272526144,0.9843395811954212,,,0.5173611111111112,0.8194444444444444,0.9131944444444444,0.9548611111111112,1.0,3164.0,3171.0,0.0,0.7783355191715402,0.9548611111111112,2.427079813106051,1.2117886382021348,0.002848147224042814,,0.8334166666666667,0.9304421296296296,1.0,0.7757618634259259,,,99.46077821298968,4.980951522549816e-12,0.021462710352425297,1.0,heteroscedastic_residuals;low_joint_pvs
130,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.1654691852167507,0.14686949827884688,0.7773468128006983,-204.89829395586287,-179.25757059491124,,,,,,,,,,,,,0.09368098169570516,,,,,,,,0.006585391005501151,7.484588488457202e-05,0.6239311679890752,0.0,ok
130,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.16575656115843992,0.14679190478354875,0.7765727625524463,,,0.3472222222222222,0.8298611111111112,0.9583333333333334,1.0,1.0,2058.0,2960.0,0.0,0.7398959391467911,1.0,2.161014087336114,1.1475104270649128,0.09656693756219244,,,0.7598660300925926,1.0,0.7598660300925926,,,26.158027205005055,0.00010199448539453321,0.5055835085156547,0.0,low_joint_pvs
130,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0490463472293701,0.03407515839720792,0.9804382368446779,,,0.5381944444444444,0.8125,0.8923611111111112,0.9479166666666666,1.0,2219.0,2863.0,0.0,0.7293920892164437,0.9479166666666666,0.7478268815719936,1.8134963761204725,0.0073610325541831586,,0.8375,0.8895324074074074,1.0,0.7455347222222222,,,75.50979640999867,4.4495271313807793e-178,0.12659054515577,1.0,low_joint_pvs
131,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.1587854704243369,0.13989479630066087,0.8041153436091146,-228.64731359806171,-203.0065902371101,,,,,,,,,,,,,0.08631142880037328,,,,,,,,0.006343966000713408,0.00013947658924686482,0.02009823306594761,0.0,heteroscedastic_residuals
131,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.1591210872305514,0.14038566735141936,0.8032864055387816,,,0.3784722222222222,0.8090277777777778,0.9618055555555556,0.9930555555555556,1.0,2078.0,2116.0,6.0,0.7120094522329498,0.9930555555555556,2.55641758534826,1.319469392930693,0.09031161862696889,,,0.772087962962963,1.0,0.772087962962963,,,26.334476862990414,0.0001985200832460652,0.011807724005418792,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
131,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04644618300800921,0.03452383848987122,0.9832398092469804,,,0.5243055555555556,0.8368055555555556,0.90625,0.9444444444444444,1.0,1976.0,2871.0,2.0,0.7336639456019567,0.9444444444444444,0.988409773309355,0.45660229243135114,0.007380938220440543,,0.94975,0.9276342592592592,1.0,0.8811935763888888,,,67.87414103100309,3.252821419934031e-06,0.0018180837871683757,1.0,divergences;heteroscedastic_residuals
132,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.16103739376741225,0.13990986216792423,0.8053860393348442,-220.53576544160808,-194.89504208065645,,,,,,,,,,,,,0.09534110063737995,,,,,,,,0.006325476002530195,0.0010418359209308891,0.0229946973499788,0.0,heteroscedastic_residuals
132,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.1611747563055715,0.13972728115250244,0.8050538920209878,,,0.3888888888888889,0.8125,0.9548611111111112,0.9930555555555556,1.0,3823.0,5077.0,0.0,0.7681133275471815,0.9930555555555556,4.456238560631814,4.085233241293874,0.0946641974864,,,0.7780500578703704,1.0,0.7780500578703704,,,32.943511694000335,0.001360484067777919,0.028607739663570924,0.0,heteroscedastic_residuals;low_joint_pvs
132,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.05174423767024892,0.03700712713789531,0.9799070126572825,,,0.5173611111111112,0.8194444444444444,0.90625,0.9513888888888888,1.0,2457.0,3166.0,0.0,0.7122101422721697,0.9513888888888888,1.4358171561426865,2.08903180721726,0.00976242948877647,,0.7371666666666666,0.9138249421296296,1.0,0.6744458912037037,,,84.17378103699593,1.54899982548076e-20,0.10232781149988375,1.0,low_joint_pvs
133,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.1470601671490987,0.12398640332936914,0.8427674861491041,-272.8335668254273,-247.19284346447566,,,,,,,,,,,,,0.0836720525765755,,,,,,,,0.006290927994996309,0.002184079834387086,1.8310974633781185e-05,0.0,heteroscedastic_residuals
133,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.14732763310571406,0.12431429164108938,0.8421950321834437,,,0.4340277777777778,0.7951388888888888,0.9513888888888888,0.9965277777777778,1.0,2775.0,3909.0,0.0,0.7116422766962223,0.9965277777777778,3.5711102664460386,1.7901346319807012,0.08454792009589326,,,0.7765017361111111,1.0,0.7765017361111111,,,30.880060146999313,0.0016550828198372695,1.1204302203325937e-05,0.0,heteroscedastic_residuals;low_joint_pvs
133,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04866616182361295,0.03650734577612858,0.9827810589462074,,,0.5277777777777778,0.8159722222222222,0.9201388888888888,0.9722222222222222,1.0,2489.0,3705.0,1.0,0.7223071312644901,0.9722222222222222,1.3686382979169578,1.1204698637813113,0.00576857296853046,,0.9166666666666666,0.923535011574074,1.0,0.8467447916666667,,,72.18747310299659,5.28851677449417e-10,0.004033464625116383,1.0,divergences;heteroscedastic_residuals
134,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.15274393205434925,0.13236529904008046,0.8293245964232692,-250.9910309631524,-225.3503076022008,,,,,,,,,,,,,0.09591041483006278,,,,,,,,0.006682960010948591,0.00016322133168820784,1.1445711757453089e-05,0.0,heteroscedastic_residuals
134,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.15304487368486697,0.1320313595478529,0.8286513921590938,,,0.3854166666666667,0.7986111111111112,0.9479166666666666,1.0,1.0,2449.0,3407.0,1.0,0.6840260613775138,1.0,3.225994679023252,2.054999701095642,0.09846548870781191,,,0.7654930555555556,1.0,0.7654930555555556,,,28.535195770993596,0.00014931357548065213,4.8052613555524045e-06,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
